Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Decision Tree,0.7982168204400284,0.9649753030983386,0.6698355801449388,0.7907639942964905,1.69
Random Forest,0.7753282469836764,0.9682903303592959,0.625808462557469,0.7602593837269844,10.52
Logistic Regression,0.7525727466288148,0.9170019542476147,0.6216005610535339,0.740943711684934,12.33
